"DIVISION","REGIONC","UATYP10","CLIMATE_REGION_PUB","TYPEHUQ","YEARMADERANGE","TOTROOMS","NHSLDMEM","KOWNRENT","ELPAY","TOTSQFT_EN","KWH","CUFEETNG","GALLONLP","BTUFO","elec_per_sqft","ntrlgas_per_sqft","propane_per_sqft","fueloil_per_sqft"
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",7,4,1,"1",1808,5270.742,299.946,0,0,2.91523340707965,0.165899336283186,0,0
"Pacific","South","Rural area","Hot-Humid","2","1980s",4,2,1,"1",759,12173,0,0,0,16.038208168643,0,0,0
"New England","South","Urban area","Mixed-Humid","2","1970s",9,4,1,"1",2288,19655.394,294.42,0,0,8.59064423076923,0.12868006993007,0,0
"Mountain North","Midwest","Urban cluster","Mixed-Humid","2","1950s",7,1,1,"1",2573,9852.535,0,609.498,0,3.82920132141469,0,0.236882238631947,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","1970s",6,3,1,"1",1024,3115.655,252.37,0,0,3.0426318359375,0.246455078125,0,0
"East North Central","Northeast","Urban cluster","Cold/Very Cold","5","1980s",1,1,2,"2",623,2777,0,227.947,0,4.45746388443018,0,0.365886035313002,0
"Mountain South","South","Urban area","Hot-Humid","4","1960s",4,1,2,"1",832,2397.758,432.74,0,0,2.88192067307692,0.520120192307692,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","1970s",5,2,1,"1",2682,13890.899,824.741,0,0,5.17930611483967,0.307509694258016,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","1980s",9,4,1,"1",1900,10422.424,0,0,58122.088,5.48548631578947,0,0,30.590572631579
"Pacific","South","Urban area","Hot-Humid","2","1950s",6,4,2,"1",1230,18505.802,0,0,0,15.0453674796748,0,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","2","1960s",5,1,1,"1",2139,2469.205,0,0,72273.58,1.15437353903693,0,0,33.7884899485741
"Mountain North","Midwest","Urban area","Mixed-Humid","2","* to 1950",4,1,2,"1",600,11065.529,78.531,0,0,18.4425483333333,0.130885,0,0
"New England","South","Urban cluster","Hot-Humid","2","2010 to 2015",5,1,2,"1",1884,14766.758,7.634,0,0,7.83798195329087,0.004052016985138,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","1970s",4,2,2,"3",782,6750.579,118.88,0,0,8.63245396419437,0.152020460358056,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","2000s",10,5,1,"1",4308,16585.761,1119.81,0,0,3.84999094707521,0.259937325905292,0,0
"Pacific","South","Urban area","Hot-Humid","5","2010 to 2015",6,5,2,"1",1597,20554.014,0,0,0,12.8703907326237,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","1","1990s",6,2,1,"1",924,11924,0,147.591,0,12.9047619047619,0,0.15973051948052,0
